Video,Resolution,QP,PSNR,BPP
RiverBank,960x540,27,34.31502903550802,0.1222960390946502
RiverBank,960x540,32,31.69072780310021,0.0525587962962963
RiverBank,960x540,37,29.433802262803997,0.020382227366255144
RiverBank,960x540,42,27.22563670294465,0.006655298353909465
RiverBank,1920x1080,17,39.90476377281328,0.5325944765946502
RiverBank,1920x1080,22,37.449064714364944,0.25560384516460904
RiverBank,1920x1080,27,34.89817454883823,0.12322560442386833
RiverBank,1920x1080,32,32.28519398906133,0.05506920010288066
RiverBank,1920x1080,37,29.91448185830851,0.02247738554526749
RiverBank,1920x1080,42,27.768089790705385,0.007791126543209876
Bosphorus,960x540,17,40.39502374274765,0.3299150462962963
Bosphorus,960x540,22,38.136738240554855,0.14718960905349796
Bosphorus,960x540,27,35.68659465911809,0.06236039094650207
Bosphorus,960x540,32,33.201928558824164,0.02536954732510288
Bosphorus,960x540,37,30.865885481193928,0.010488374485596709
Bosphorus,960x540,42,28.62025232912561,0.004355992798353909
Bosphorus,1920x1080,17,41.37168283821179,0.26653013760288063
Bosphorus,1920x1080,22,39.614564432575506,0.109096875
Bosphorus,1920x1080,27,37.528799599410966,0.045971804269547334
Bosphorus,1920x1080,32,35.21619676499049,0.01919333847736625
Bosphorus,1920x1080,37,32.933795864002875,0.00817724408436214
Bosphorus,1920x1080,42,30.580089345333967,0.003414493312757202
FlowerFocus,960x540,17,40.61999183868157,0.0971483024691358
FlowerFocus,960x540,22,39.536507192571506,0.03241319444444445
FlowerFocus,960x540,27,38.06847560001928,0.014624022633744856
FlowerFocus,960x540,32,36.0949735204922,0.007384413580246912
FlowerFocus,960x540,37,33.72440900687582,0.004211985596707819
FlowerFocus,960x540,42,31.156534298282565,0.002626543209876543
FlowerFocus,1920x1080,17,39.68893515473721,0.3315053755144033
FlowerFocus,1920x1080,22,38.82807757593622,0.04276698173868312
FlowerFocus,1920x1080,27,38.03929327877513,0.010486709104938272
FlowerFocus,1920x1080,32,36.76836605078822,0.004616338734567902
FlowerFocus,1920x1080,37,35.00331155249148,0.002554417438271605
FlowerFocus,1920x1080,42,32.85375438033122,0.0015478909465020574
SunBath,1920x1080,17,43.98505377492047,0.22246343878600824
SunBath,1920x1080,22,42.16213710180102,0.12488025977366254
SunBath,1920x1080,27,39.90309565590128,0.07185524691358025
SunBath,1920x1080,32,37.26945947680328,0.041531597222222216
SunBath,1920x1080,37,34.682147907864106,0.023971836419753086
SunBath,1920x1080,42,31.878623286265782,0.013138451646090534
SunBath,960x540,17,42.50205391418084,0.4280383230452675
SunBath,960x540,22,40.058956148871204,0.2500812757201646
SunBath,960x540,27,37.35408124188681,0.14220185185185186
SunBath,960x540,32,34.563378455240816,0.07896126543209876
SunBath,960x540,37,31.813160995994892,0.04324254115226338
SunBath,960x540,42,28.980030319267346,0.022213683127572017
